question,answer
"Can you have ChatGPT 4 ""explain"" how it generated an answer?","Yes and no. You can certainly prompt ChatGPT (or any other LLM) to produce an explanation for why it's generating an output.  In some sense, this could be seen as ""the"" explanation for why it generated the output, since the request will tend to change the output so that it matches the explanation. In another sense, the explanation is complete nonsense: it bears no relationship to the actual mechanism of generating an output.  Rather, it will be a reflection of ""think step by step"" or ""explain your reasoning"" examples in the training data.  If you want to know how a LLM generates an output, you need to analyze the underlying neural network as it's running, something we don't know how to do for any but the most trivial networks."
Reserved words or commands for ChatGPT,"ChatGPT has no true ""reserved words"" in the sense of programming languages. Some of what you're seeing is the result of fine-tuning: a fine-tune for ""perform this task"" will separate the instruction from the response in the training data using some marker, and then repeat that marker when using the trained model. Most of what you're seeing, though, is ""cargo-cult prompting"": people see other users include things in their prompts, and copy those features without understanding why they're used.  Occasionally, those features will line up with some aspect of the training data and produce useful effects, but more often, they have no predictable result."
"What's the difference between the terms ""ChatGPT"", ""GPT"", ""GPT-4"", and ""GPT-3.5-turbo""?","Everything starts from GPT (Generative Pre-trained Transformation), a large language model (LLM) and a framework for generative AI. The LLM consists of different architectures, parameter counts, and training data, which thus produced various GPT foundation models, starting from GPT-1, GPT-2, GPT-3, GPT-3.5 (a sub-class of GPT-3), GPT-4, etc. Each foundation model may be tweaked and fine-tuned to further produce various models, like GPT-3.5-Turbo which is optimized for chat. Then comes ChatGPT, an AI chatbot application that utilizes GPT-3.5 (the ""Turbo"" model) and GPT-4 models. It is also supplied with a specific system message or a pre-prompt and fine-tuned with supervised and reinforced learning, thus even if other apps utilize the same model, the response may be different than what ChatGPT usually produces, e.g. compared to OpenAI Playground with GPT-3.5-Turbo in the past (warning: offensive language)."
Can an LLM be constrained to answer questions only about a specific dataset?,"There are a few approaches you could take to constrain an AI to only answer questions based on a specific dataset: I expand more technically on ""Conversational scoping"": You can directly manipulating the logits output by a language model. This is another technique that can help scope the conversational responses. The logits are the raw scores that a language model produces for each token before picking the token with the highest score. By modifying these logit values for certain undesired tokens before selecting the response, we can steer the model away from tokens we don't want. Some ways to accomplish this: The main caution is that directly manipulating logits can sometimes lead to unnatural or non-fluent responses if done too aggressively. So it takes some trial-and-error to tune the modifications. But used judiciously, it's a powerful way to shape the allowed responses."
"How do I ""teach"" a large language model new knowledge?","A vector database such as Chroma can store pre-computed embeddings of a large number of documents. On querying the LLM, a look-up for relevant documents is performed by closest embedding similarity, then a chunk of text is appended to the prompt for the LLM to draw from and summarise. Several projects exist based around this idea, such as: https://github.com/arc53/docsgpt https://github.com/mmz-001/knowledge_gpt https://github.com/StanGirard/quivr https://github.com/Mintplex-Labs/anything-llm https://github.com/vgulerianb/DocNavigator https://github.com/flepied/second-brain-agent This approach has the advantage that it doesn't require training the model, and can work even with black-box models such as GPT-4. The model will also be able to draw from the provided text chunk more accurately than if it were just seen during training. You could also go with something simpler, like running find-replace on the prompt to add definitions in brackets after occurrences of jargon words. A number of parameter-efficient fine-tuning methods, in particular LoRA, allow tweaking a model with more reasonable hardware than what would be required for full training. This repostory contains code for using LoRA on Meta's LLaMA with (high-end) consumer hardware: https://github.com/tloen/alpaca-lora This approach has the advantage that the model is tuned to all of your provided data, rather than only one chunk. This can even be used to teach a LLM a new language, or turn a foundation model into a chat model."
What are the limitations that prevent LLM's from continuing their response,"There are a few main reasons why large language models have output limitations: To expand more on ""Context Window"": Context Window in large language models has to do with the information captured in the model's internal representations, especially in the output layer. In particular, as text generation progresses, information about the existing context must be retained in the model's neural network activations. The output layer contains the model's representation of the currently generated text. As more text is produced, earlier context begins to fade from the output layer activations as new text overwrites it. This is because there is a limit to how much context information can be captured and propagated through the deep neural networks that make up these large models. The connections have a certain fixed capacity."
"If I use a GPT add-on in my spreadsheet, is my data still private, or can it be leaked to other GPT users?","ChatGPT (the website/app) does, by default, use conversations for training. This can be disabled through ""Data Controls"": Web interface:
To disable chat history and model training, navigate to ChatGPT > Data Controls. [...] iOS app:
To disable chat history and model training, tap the three dots on the top right corner of the screen > Settings > Data Controls > toggle off Chat History & Training. Source: https://help.openai.com/en/articles/7730893-data-controls-faq However, except for ChatGPT plugins, apps claiming to be ""powered by ChatGPT"" or similar likely mean that they're using the same models as ChatGPT is using (GPT 4 and GPT 3.5 Turbo) through the OpenAI API. In particular for the two you mention: [GPT for Docs™ Sheets™ Slides™ by Qualtir:] It is built on top OpenAI GPT-4 and Google Bard™ models [GPT for Sheets™ and Docs™ by Talarian:] It is built on top OpenAI ChatGPT, GPT-3 and GPT-4 models. OpenAI's API does not train on data submitted to it: OpenAI does not use data submitted to and generated by our API to train OpenAI models or improve OpenAI’s service offering Source: https://help.openai.com/en/articles/5722486-how-your-data-is-used-to-improve-model-performance (c) Use of Content to Improve Services. We do not use Content that you provide to or receive from our API (“API Content”) to develop or improve our Services. Source: https://openai.com/policies/terms-of-use You should also be aware of data potentially collected by the add-ons themselves, which may vary from add-on to add-on. For example, Qualtir claim: We do not store your data (inputs, clicks, or drive files). It stays on Google’s servers. Source: https://gpt.space/privacy-policy"
How can I extract the embedded prompt configuration from AI-generated images?,"There are several tools available that allow you to view PNG chunks, in particular the text chunks where ComfyUI and Automatic1111 store their metadata. Online: Local: Automatic1111's stored metadata is relatively simple and human-readable:  ComfyUI stores the prompt and a more-involved full workflow graph as JSON:  Note that ComfyUI and Automatic1111's web UI are FOSS, available for free, don't require being able to load a model on your GPU just to run the interface itself, and could even be ran on services like Google Colab. Particularly for ComfyUI, the best choice would normally be to load the image back into the interface it was created with - if you know which one. Below are a couple of test images that you can download and check for metadata. ComfyUI:  Automatic1111: "
"Is it possible to change the ""temperature"" parameter of ChatGPT chats?","Is it possible to change the ""temperature"" parameter of ChatGPT chats? Not possible on https://chat.openai.com/. However, on https://platform.openai.com/playground one may change the temperature:  One may also change the temperature in the Azure playground: "
"Does asking ChatGPT (or other LLMs) to ""talk like a pirate"" degrade performance?","Various LLM benchmarks exist to measure how good LLMs are at answering questions correctly. I'm curious if performance on these benchmarks is affected (and if so, by how much) when this style of ""please phrase your answer..."" is used. For the benchmarks that rely on automated evaluation metrics based on n-gram overlaps such as ROUGE, METEOR or BLEU, asking LLMs to output the answer in a style that is distinct from the style of the reference texts will decrease the performance numbers."
What challenges would I face in trying to apply ChatGPT to answer questions about information it wasn't trained upon?,"By default, assuming GPT-4/3.5 (the models used by ChatGPT) won't have been trained on your manuals, the models won't be able to provide useful information beyond what can be guessed by context of the prompt. To make the models useful you'd likely have to set up document retrieval. A vector database would store embeddings for chunks of your technical documentation, pre-computed with OpenAI's embedding API. When a user asks a support question, you'd look-up relevant documentation by closest embedding similarity, then provide this as context to the LLM as part of the prompt. In implementing this, you may face challenges in data collation and the infrastructure involved. Even with this, the model may struggle on tasks that require wider background knowledge of your products that can't be inferred from a limited number of chunks. For local models fine-tuning would be an option here, but that's not possible for GPT-3.5/4. LLMs are known to ""hallucinate"" and give incorrect but confident-sounding responses. Moreover, even telling the model ""don't answer if you don't know"" won't necessarily prevent this, as LLMs lack sufficient introspection ability to know what they don't know. Stating specifically what the LLM should stick to, such as only the content contained in the retrieved document chunk, should be more effective - but still won't entirely prevent hallucination. You could have the model provide documentation references for the user to check manually to verify accuracy. In general, you'd likely have to work towards setting user expectations correctly not to expect the model to be entirely accurate. Depending on how your support bot is exposed, you may have to handle misuse of the model by users. Paying for API usage could become costly if many users begin using it for long conversations unrelated to your product. For example, after Slack's implementation of Claude, tools and tutorials popped up for using Claude for free, involving creating a Slack workspace as an intermediary. Most likely you'd want to implement this using OpenAI's API. However, if you did in some way use the ChatGPT website/app, you'd also face the issue of data confidentiality for your gated documentation and user requests. For example, a user seeking support may copy-paste in a debug log containing IPs and names. By defualt ChatGPT trains on user input, whereas the OpenAI API accessing the same models does not."
Why is ChatGPT unable to argue in support of its own stance?,"ChatGPT does not know anything in the sense you're thinking of.  ChatGPT (and any other large-language model) merely knows what's most likely to follow a given set of text.  What you're seeing in the image is two factors at play: The ""how much is 2+5"" and ""my wife says it's 8"" responses are straight pulls from the training data.  ChatGPT has certainly seen many variations on simple arithmetic or ""my wife says"" conversations during training, so it's giving responses similar to what it's seen in both cases. The response to ""my wife is always right"" is a result of the chat fine-tuning.  The phrase ""I apologize"" indicates that you've triggered one of the guardrails: ChatGPT has been trained to be deferential when challenged, to avoid the embarrassing headlines that Bing Chat's argumentative behavior produced."
What do (parentheses) and [square brackets] do in image prompts?,"Square brackets and parentheses are used for adjusting the weight of the contained words: Surrounding words with (parentheses) will increase their impact on the image, Surrounding words with [square brackets] will decrease their impact on the image. You can further increase/decrease the weight by adding (((more))) pairs, or explicitly specify a weight value (like this:1.2). Here's the same prompt/seed weighted differently:  Be aware that this is implemented per-frontend, so the specifics may differ slightly. For example, NovelAI uses {curly brackets} instead of parentheses, and Automatic1111 normalises weights across the prompt. Documentation:"
Is there an offline GPT model I can use to generate narrative reports from excel data based on an existing set of files?,"You can try Langchain library [1]. It's a powerful library to build applications with LLM. it supports many LLMs integrations[2] along with vector store DBs integrations [3] [4] and many more (i.e agents, embeddings) You can load your excel file along with other files , split embed and store everything in vector-store DB, then choose local LLM and integrate both to get a Q&A on your data. https://python.langchain.com/docs/get_started/introduction.html https://python.langchain.com/docs/integrations/llms https://python.langchain.com/docs/modules/data_connection/vectorstores/ https://python.langchain.com/docs/integrations/vectorstores/"
"How can I encourage ChatGPT to not reveal specific context, such as a fixed prompt that I want to keep hidden?","Prompt tokens are weighted by location in the main prompt. The most important tokens are placed at the beginning and get ""less important"" given their relative position in the string being sent to the LLM. So one way to do this would be to have the most important tokens placed at the beginning of the system prompt. Below is an example. You can swap the first 2 sentences and see the effect. This concept is especially true for visual generative AI. I have also noticed that using ChatGPT3.5-turbo doesn't do this as well as GPT4. So if you can switch the api usage to GPT4 you should definitely do that. It will respect order better (or has for the research I've been doing)"
How can I effectively create a prompt to generate realistic limbs and fingers using Leonardo.ai?,"The positive prompt can be roughly thought of as a caption the image is likely to have. Terms like ""no deformed figure"" would be unusual descriptions for actually-normal images, and may have the opposite effect to what you intend. Below I compare ""Charlie Chaplin"" to ""Charlie Chaplin, not jumping"" with SDXL 0.9:  Putting instead ""deformed"" in the negative prompt shouldn't hurt, but may have limited impact. The reason a negative prompt like ""watermark"" successfully discourages the model from inventing watermarks is because the generation of watermarks is due to the model deliberately creating one, and the model has an association between the word and the visual pattern. On the other hand, deformed hands are almost always (unless generating zombies) going to be an artefact of the model's capabilities rather than a choice it can trivially avoid, or even know to associate with ""deformed"". For similar reasons, ""must be colorful hyper realistic"" should be rephrased into a possible caption rather than an instruction. These changes should make a small positive impact, but with current models solely relying on the text prompt can only go so far and it'd still likely take generating a large number of images until the hands happens to look correct. There are however other techniques and tweaks that could help more significantly: Once you're happy with most of the image, inpainting would allow you to focus on iterating specific areas such as the hands. The frontend you're using, Leonardo.ai, appears to allow this in ""AI Canvas"". Result of using the eraser on the extra pair of arms and then inpainting:  You can also start from the existing deformed hands or paint/photobash in some basic hands, mask out that region, then adjust inpainting strength to determine how much the model adjusts the contents. Conditioning based on a depth map, sketch, or line skeleton showing fingers, as opposed to just a text prompt, would help the model with the hand's structure. In Leonardo.ai, a few Controlnets seem to be available in generation parameters:  Using this image to get a depth map, the site generated this coherent hand in the same pose: "
ChatGPT API Embedding Vectors - Are vectors standard across LLM's?,"Embeddings are not universal, they vary per framework/API. Read an intro here: https://gpt-index.readthedocs.io/en/latest/core_modules/model_modules/embeddings/root.html And then see various embeddings here: If you index documents in a vector database with the purpose of providing docs to the ChatGPT Retrieval plugin, then you'll want to use the OpenAI Embeddings."
Can third-party ChatGPT plugins see requests we send to ChatGPT?,"Yes, They can see. Important thing is how they use they data is upto their privacy policy. When you use the ChatGPT API, the text you input is transmitted to OpenAI's servers for the AI to generate a response. Access to this data is subject to OpenAI's data usage policy. Third-party plugins or applications that integrate with ChatGPT could have their own policies regarding data access and handling. It is important to thoroughly review the privacy policies and terms of service of any third-party software to ensure your data is treated with the level of privacy and security you expect."
How does ChatGPT render math in Markdown output?,"The \( ... \) syntax corresponds to LaTex math inline mode. Regarding printing as PDF-rendered versions of markdown files, including Tex, LaTex, and MatJax, there are a lot of plug-ins for Visual Studio Code. Search the Visual Studio Marketplace or the Web. There is a lot of content. As an alternate to Visual Studio Code, check out Obsidian.md. This is a note application that use markdown and also has a lot of plug-ins. Reference Related"
Which image generating services don't duplicate copywritten work?,"You can use Adobe Firefly's image generation service. From https://www.adobe.com/sensei/generative-ai/firefly.html: As part of Adobe’s effort to address generative AI-related copyright infringement concerns, we are training our initial Firefly model on Adobe Stock images, openly licensed content, and public domain content where copyright has expired. [...] For Adobe Stock contributors, the content is part of Firefly’s training dataset, in accordance with Stock Contributor license agreements. Note that public domain is just one of many cases where one is allowed to use images to train image generation models. Public domain also doesn't mean that the author has training image generation models in mind. Disclaimer: I am member of Adobe Research."
Stable Diffusion XL is two separate models - how do I use it to generate images?,"To make full use of SDXL, you'll need to load in both models, run the base model starting from an empty latent image, and then run the refiner on the base model's output to improve detail. In ComfyUI this can be accomplished with the output of one KSampler node (using SDXL base) leading directly into the input of another KSampler node (using SDXL refiner, for the final steps). The first KSampler node should have return_with_leftover_noise enabled:  Output image (contains metadata, can be downloaded and dragged into ComfyUI to load the workflow):

(source with more info) As opposed to regular SD which was used with a resolution of 512x512, SDXL should be used at 1024x1024. For frontends that don't support chaining models like this, or for faster speeds/lower VRAM usage, the SDXL base model alone can still achieve good results: 
(source) The refiner has only been trained to denoise small noise levels, so shouldn't be used without the base."
How to obtain trigger words from a LoRA file?,"idk if there is an easier way, but I just did the following:
I used https://github.com/butaixianran/Stable-Diffusion-Webui-Civitai-Helper to write .info files and made a simple script to extract the file name, recommended weight, and trained words in a format like so: <lora:{model_name}:{weight}>,{trained_words} feel free to modify it as you'd like. the  code: config file should contain, if unmodified:"
Are white hat hackers rewarded for identifying genAI's vulnerabilities?,"Generally, White Hat Hackers are hired or invited into a program called Bug Bounty Program or Vulnerability Reward Program (VRP), but they can also do their work on software that they are unauthorized. They are hackers anyway. They can do things on their own. For those who participate in the mentioned programs, they will be rewarded according to the agreement stated in such programs. However, those that do without permission will have many possible outcomes from such action. It can be anything from getting paid, public recognition, or even recruitment. They can also be investigated for unauthorized access though, but this choice is less likely. Therefore, it really depends on the individual company in order to decide whether to reward those white hat hackers or not. If so then the reward is decided by the company, which again really depends on the company to decide. Note: This post answers in a general aspect of the question because this information is not specific to GenAI field."
"Will you be banned for ""Jailbreaking"" ChatGPT? [closed]","Nobody can tell you what OpenAI might decide to do if you are found in violation of their T&C, but they have published some basic safeguards: They have a ""Coordinated vulnerability disclosure policy"" and a ""Bug Bounty Program"" that provides ""Safe Harbor"" if you are acting in good faith and you report any vulnerabilities. Use the free ""Moderation Endpoint"" to check any prompts and follow the ""Safety Best Practices"". Per the Safety Best Practices: Sending end-user IDs in your requests can be a useful tool to help OpenAI monitor and detect abuse. This allows OpenAI to provide your team with more actionable feedback in the event that we detect any policy violations in your application. I think the last one is the most applicable to your question. Always include a user ID; that way, if OpenAI finds a violation you can attribute the violation to a user an you can take some kind of action to correct the issue like deactivating an account."
How can I know if an image generation tool might copy someone's art?,"Link: https://genai.stackexchange.com/a/344/12 I think that ""copy someone's art"" cannot be determined in such a way that people who aren't art experts might determine. On one side, the legal and ethical aspects are handled through intellectual property and authorship rights. On the other is the determination that copyright laws can limit what can be used and who and how to train an artificial intelligence entity. It might help to look at the generative artificial intelligence operator documentation about their stand regarding intellectual property and authorship rights. Some organizations use a structure of vision, mission and values or creed statements, long-term strategies and programs; others might have a ""manifesto"". In the coming years, it is possible that the artificial intelligence industry will develop specific guidelines and practices around intellectual property and authorship rights. Simply stating that they operate within the law may not be enough. Related"
Prompts that reliably result in unreliable completions,"I have no idea how to design such an adversarial prompt systematically. Does anyone have an idea for a strategy how to create one? First, it could be useful to understand the source of randomness in ChatGPT (temperature + understand how it works). Second, one could look at log probabilities associated with the most likely tokens for each output token, and find a prompt where the top 2 most likely tokens have almost the same log probabilities. want to demonstrate how ChatGPT can give quite different answers to the same question, Some papers report such variance e.g. https://arxiv.org/pdf/2210.14986v1.pdf Appendix ""F.3 Variance over API runs""."
To what extent do LLMs have grammar rules explicitly programmed?,"To what extent do LLMs have grammar rules explicitly programmed? LLMs don't have grammar rules explicitly programmed by humans. However, neural networks can learn to capture structural information about
languages, e.g. see https://aclanthology.org/P19-1356.pdf and https://arxiv.org/pdf/2002.12327.pdf Is there typically any explicit programming in LLMs that dictates how to form a sentence? No. Where does the ""understanding"" come to with regards to references like ""rewrite last reply in 2 words""? How does the LLM ""know"" what is meant by ""rewrite""? How does the LLM produce a correct answer to ""What is the tallest mountain in US, respond in five words""? The ""understanding"" comes learning to predict the next words based on a very large training set. Is there another layer that parses the request to understand these meta instructions and instructs the token generating mechanism to stop after it generates 5 words, or is there pure statistics behind understanding what is meant by ""respond in five words"" to produce the expected result? Pure statistics."
How to train Bard to answer based on a private FAQ document?,"The model behind Bard is PaLM 2 which can be accessed through the PaLM API - currently on a waitlist system. The model is not available for training or fine-tuning, but the API allows you to generate embeddings for text, so a document retrieval approach to allowing PaLM to answer questions about it would be possible, as described here: https://genai.stackexchange.com/a/33/8 Specifically, for determining chunk size and amount to include in the prompt, PaLM 2 has a context window of 8000 tokens, approximately 32000 characters Be aware that by submitting content to Bard, you give Google ""a perpetual, irrevocable, worldwide, sublicensable, royalty-free, and non-exclusive license"" to ""provide, improve, and develop products, services, and machine learning technologies."" This may be a concern for your private unpublished document."
